frame_no,eth_src_address,eth_dst_address,ip_src,ip_dst,tcp_src_port,tcp_dst_port,udp_src_port,udp_dst_port,frame_relative_time,frame_length,frame_arival_time,malicious
636012,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.170,178.77.71.27,3389.0,1622.0,,,337131.236792,106,"Aug 14, 2011 12:10:31.712584000 India Standard Time",1
5488410,00:01:02:72:ab:55,00:e0:b1:87:f5:94,68.178.178.97,192.168.1.105,80.0,17330.0,,,-36631785.889581,1434,"Jun 12, 2010 15:01:54.586211000 India Standard Time",0
8434106,00:01:02:72:ab:55,00:e0:b1:87:f5:94,74.63.40.21,192.168.4.120,80.0,2026.0,,,-36594785.086002,1434,"Jun 13, 2010 01:18:35.389790000 India Standard Time",1
640398,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.170,178.77.71.27,3389.0,1691.0,,,337573.044756,526,"Aug 14, 2011 12:17:53.520548000 India Standard Time",1
4141629,00:01:02:72:ab:55,00:e0:b1:87:f5:94,192.168.5.122,192.168.4.121,36025.0,49468.0,,,-36639186.653039,60,"Jun 12, 2010 12:58:33.822753000 India Standard Time",1
4545662,00:0d:60:96:ac:f7,00:e0:b1:87:f5:94,192.168.3.115,76.13.115.116,4599.0,80.0,,,-36634500.919856,60,"Jun 12, 2010 14:16:39.555936000 India Standard Time",0
2600830,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121105058.637394,96,"Oct  8, 2007 22:14:01.838398000 India Standard Time",0
1195138,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.165,124.91.38.8,,,7600.0,15287.0,779997.279228,1098,"Aug 19, 2011 15:11:37.755020000 India Standard Time",0
6323474,00:01:02:72:ab:55,00:e0:b1:87:f5:94,65.54.81.93,192.168.2.109,80.0,1037.0,,,-36625115.92868,504,"Jun 12, 2010 16:53:04.547112000 India Standard Time",1
8722527,00:11:25:bb:1f:cf,00:e0:b1:87:f5:94,192.168.1.101,91.190.170.71,1494.0,80.0,,,-36588270.150303,60,"Jun 13, 2010 03:07:10.325489000 India Standard Time",0
961867,00:1e:49:db:19:c3,08:00:27:1f:65:4a,195.113.232.90,147.32.84.192,80.0,1122.0,,,776979.031975,2974,"Aug 19, 2011 14:21:19.507767000 India Standard Time",0
1826952,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121112471.29669,96,"Oct  8, 2007 20:10:29.179102000 India Standard Time",0
2538826,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121105785.185106,96,"Oct  8, 2007 22:01:55.290686000 India Standard Time",0
302663,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.180,212.117.174.7,2146.0,4506.0,,,16315.089521,62,"Aug 10, 2011 19:03:35.565313000 India Standard Time",1
4248647,00:01:02:72:ab:55,00:e0:b1:87:f5:94,72.47.223.74,192.168.2.113,80.0,1315.0,,,-36638811.044918,1514,"Jun 12, 2010 13:04:49.430874000 India Standard Time",1
1738558,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,68.142.120.174,2805.0,80.0,,,-121113012.502496,60,"Oct  8, 2007 20:01:27.973296000 India Standard Time",0
6864543,00:01:02:72:ab:55,00:e0:b1:87:f5:94,65.54.81.126,192.168.2.109,80.0,1965.0,,,-36616347.793147,1514,"Jun 12, 2010 19:19:12.682645000 India Standard Time",1
2514982,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121106067.326632,60,"Oct  8, 2007 21:57:13.149160000 India Standard Time",0
7553787,00:01:02:72:ab:55,00:e0:b1:87:f5:94,69.84.133.138,192.168.4.120,80.0,4785.0,,,-36607554.130133,1434,"Jun 12, 2010 21:45:46.345659000 India Standard Time",1
6915925,00:01:02:72:ab:55,00:e0:b1:87:f5:94,72.41.81.111,192.168.1.102,80.0,3636.0,,,-36615077.323808,1514,"Jun 12, 2010 19:40:23.151984000 India Standard Time",0
1400822,00:44:66:fc:29:af,00:55:22:af:c6:37,68.142.120.174,172.16.2.2,80.0,2805.0,,,-121115441.73424,96,"Oct  8, 2007 19:20:58.741552000 India Standard Time",0
3719103,00:01:02:72:ab:55,00:e0:b1:87:f5:94,74.53.78.211,192.168.2.109,80.0,4067.0,,,-36647948.872184,1514,"Jun 12, 2010 10:32:31.603608000 India Standard Time",1
73398,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.180,213.246.53.125,2343.0,5296.0,,,4969.424552,60,"Aug 10, 2011 15:54:29.900344000 India Standard Time",1
8372916,00:01:02:72:ab:55,00:e0:b1:87:f5:94,72.233.2.56,192.168.4.120,80.0,1768.0,,,-36596032.687554,1514,"Jun 13, 2010 00:57:47.788238000 India Standard Time",1
930411,00:1e:49:db:19:c3,08:00:27:e2:09:2d,60.12.105.203,147.32.84.191,80.0,1149.0,,,776824.675934,1327,"Aug 19, 2011 14:18:45.151726000 India Standard Time",0
7744513,00:01:02:72:ab:55,00:e0:b1:87:f5:94,72.172.128.65,192.168.2.110,80.0,3557.0,,,-36601202.710027,1514,"Jun 12, 2010 23:31:37.765765000 India Standard Time",1
3087831,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121099830.157457,60,"Oct  8, 2007 23:41:10.318335000 India Standard Time",0
5220907,00:01:02:72:ab:55,00:e0:b1:87:f5:94,203.73.24.75,192.168.2.109,80.0,2408.0,,,-36632281.895966,1514,"Jun 12, 2010 14:53:38.579826000 India Standard Time",1
7347930,00:01:02:72:ab:55,00:e0:b1:87:f5:94,75.101.147.64,192.168.1.101,80.0,4175.0,,,-36610452.318602,1514,"Jun 12, 2010 20:57:28.157190000 India Standard Time",0
1021991,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.165,182.37.184.26,,,7600.0,1617.0,777590.41777,1098,"Aug 19, 2011 14:31:30.893562000 India Standard Time",0
1346163,aa:aa:aa:aa:aa:aa,aa:aa:aa:aa:aa:aa,172.16.0.12,130.132.1.11,,,60660.0,53.0,-26561802.340992,70,"Oct  7, 2010 04:14:58.134800000 India Standard Time",0
2297957,00:44:66:fc:29:af,00:55:22:af:c6:37,77.200.208.2,172.16.2.12,62459.0,1748.0,,,-121112168.081173,96,"Oct  8, 2007 20:15:32.394619000 India Standard Time",0
110685,00:1e:49:db:19:c3,08:00:27:b5:b7:19,147.32.80.9,147.32.84.180,,,53.0,2079.0,7221.037652,75,"Aug 10, 2011 16:32:01.513444000 India Standard Time",1
5962184,00:09:6b:d8:7f:9a,00:e0:b1:87:f5:94,192.168.3.117,208.66.205.221,2089.0,80.0,,,-36628085.531381,60,"Jun 12, 2010 16:03:34.944411000 India Standard Time",0
4197333,00:0d:60:96:ae:5c,00:e0:b1:87:f5:94,192.168.4.121,192.168.5.122,49488.0,8873.0,,,-36639156.292019,1514,"Jun 12, 2010 12:59:04.183773000 India Standard Time",1
8467487,00:01:02:72:ab:55,00:e0:b1:87:f5:94,74.63.40.21,192.168.4.120,80.0,2277.0,,,-36594620.166786,1434,"Jun 13, 2010 01:21:20.309006000 India Standard Time",1
8736563,00:09:6b:e9:a9:00,00:e0:b1:87:f5:94,192.168.2.110,69.84.133.138,4238.0,80.0,,,-36588009.228611,60,"Jun 13, 2010 03:11:31.247181000 India Standard Time",1
1432853,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,68.142.120.174,2805.0,80.0,,,-121114925.385037,60,"Oct  8, 2007 19:29:35.090755000 India Standard Time",0
4398825,00:01:02:72:ab:55,00:e0:b1:87:f5:94,208.113.162.153,192.168.1.103,80.0,2102.0,,,-36634776.642286,1514,"Jun 12, 2010 14:12:03.833506000 India Standard Time",1
3575777,00:11:25:bb:cf:0f,00:e0:b1:87:f5:94,192.168.4.120,174.133.126.130,2701.0,80.0,,,-36652270.213323,189,"Jun 12, 2010 09:20:30.262469000 India Standard Time",1
2595696,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121105114.526846,96,"Oct  8, 2007 22:13:05.948946000 India Standard Time",0
6600647,00:01:02:72:ab:55,00:e0:b1:87:f5:94,67.192.185.156,192.168.4.120,80.0,4276.0,,,-36622282.455501,1514,"Jun 12, 2010 17:40:18.020291000 India Standard Time",1
2603967,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121105026.206949,60,"Oct  8, 2007 22:14:34.268843000 India Standard Time",0
2859906,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121102270.554816,96,"Oct  8, 2007 23:00:29.920976000 India Standard Time",0
2847106,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121102396.923682,60,"Oct  8, 2007 22:58:23.552110000 India Standard Time",0
4853627,00:01:02:72:ab:55,00:e0:b1:87:f5:94,68.178.178.97,192.168.2.112,80.0,1611.0,,,-36633898.026882,1434,"Jun 12, 2010 14:26:42.448910000 India Standard Time",1
9056953,00:0d:60:96:ac:f6,00:e0:b1:87:f5:94,192.168.4.118,125.6.164.51,4911.0,80.0,,,-36578222.004817,60,"Jun 13, 2010 05:54:38.470975000 India Standard Time",1
4996030,00:01:02:72:ab:55,00:e0:b1:87:f5:94,203.73.24.75,192.168.2.109,80.0,1360.0,,,-36633140.670321,1514,"Jun 12, 2010 14:39:19.805471000 India Standard Time",1
760245,00:1e:49:db:19:c3,08:00:27:b5:b7:19,"114.201.162.37,147.32.84.165","147.32.84.170,218.49.151.145",3642.0,22.0,,,412009.584941,70,"Aug 15, 2011 08:58:30.060733000 India Standard Time",0
7383108,00:01:02:72:ab:55,00:e0:b1:87:f5:94,66.150.117.33,192.168.1.104,80.0,19050.0,,,-36608692.605606,571,"Jun 12, 2010 21:26:47.870186000 India Standard Time",0
1978737,00:44:66:fc:29:af,00:55:22:af:c6:37,89.133.139.178,172.16.2.12,1151.0,1490.0,,,-121114319.188118,96,"Oct  8, 2007 19:39:41.287674000 India Standard Time",0
646229,00:1e:49:db:19:c3,08:00:27:b5:b7:19,178.77.71.27,147.32.84.170,1784.0,3389.0,,,338161.804668,60,"Aug 14, 2011 12:27:42.280460000 India Standard Time",1
6818056,00:01:02:72:ab:55,00:e0:b1:87:f5:94,67.212.184.66,192.168.1.101,80.0,2924.0,,,-36617190.10487,1514,"Jun 12, 2010 19:05:10.370922000 India Standard Time",0
3751072,00:01:02:72:ab:55,00:e0:b1:87:f5:94,174.132.188.162,192.168.3.114,80.0,2712.0,,,-36646746.183382,1507,"Jun 12, 2010 10:52:34.292410000 India Standard Time",0
8479321,00:01:02:72:ab:55,00:e0:b1:87:f5:94,142.166.14.80,192.168.2.113,80.0,3413.0,,,-36594554.456735,60,"Jun 13, 2010 01:22:26.019057000 India Standard Time",1
1944214,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.12,80.99.152.59,1453.0,5173.0,,,-121115467.838056,70,"Oct  8, 2007 19:20:32.637736000 India Standard Time",0
3276976,00:44:66:fc:29:af,00:55:22:af:c6:37,152.66.249.135,172.16.2.2,22.0,1352.0,,,-121062822.436331,96,"Oct  9, 2007 09:57:58.039461000 India Standard Time",0
7563047,00:01:02:72:ab:55,00:e0:b1:87:f5:94,69.84.133.138,192.168.4.120,80.0,4785.0,,,-36607527.628362,1434,"Jun 12, 2010 21:46:12.847430000 India Standard Time",1
5597562,00:09:6b:d8:7f:9a,00:e0:b1:87:f5:94,192.168.3.117,72.14.204.191,1607.0,80.0,,,-36631541.555267,105,"Jun 12, 2010 15:05:58.920525000 India Standard Time",0
1212970,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.165,125.84.182.153,,,7600.0,1130.0,780145.223986,160,"Aug 19, 2011 15:14:05.699778000 India Standard Time",0
7315218,00:11:25:bb:1f:cf,00:e0:b1:87:f5:94,192.168.1.101,169.145.6.65,4072.0,80.0,,,-36611107.819962,115,"Jun 12, 2010 20:46:32.655830000 India Standard Time",0
4440798,00:11:25:b9:ac:22,00:e0:b1:87:f5:94,192.168.1.104,69.192.24.88,17282.0,80.0,,,-36634691.419419,60,"Jun 12, 2010 14:13:29.056373000 India Standard Time",0
2103850,00:44:66:fc:29:af,00:55:22:af:c6:37,24.176.29.223,172.16.2.14,,,36342.0,15610.0,-121113356.239367,96,"Oct  8, 2007 19:55:44.236425000 India Standard Time",0
5339633,00:02:55:bf:75:a9,00:e0:b1:87:f5:94,192.168.2.108,78.136.20.64,2681.0,80.0,,,-36632050.295416,62,"Jun 12, 2010 14:57:30.180376000 India Standard Time",0
9162624,00:01:02:72:ab:55,00:e0:b1:87:f5:94,76.74.254.123,192.168.2.106,80.0,3058.0,,,-36574578.186339,1514,"Jun 13, 2010 06:55:22.289453000 India Standard Time",0
6133667,00:01:02:72:ab:55,00:e0:b1:87:f5:94,97.74.144.108,192.168.2.108,80.0,3092.0,,,-36627506.711696,1514,"Jun 12, 2010 16:13:13.764096000 India Standard Time",0
7170199,00:01:02:72:ab:55,00:e0:b1:87:f5:94,142.166.14.80,192.168.1.102,80.0,3793.0,,,-36612424.397283,60,"Jun 12, 2010 20:24:36.078509000 India Standard Time",0
918817,08:00:27:e2:09:2d,00:1e:49:db:19:c3,147.32.84.191,58.215.240.7,1043.0,80.0,,,776779.429677,60,"Aug 19, 2011 14:17:59.905469000 India Standard Time",0
5065616,00:09:6b:e9:cf:6b,00:e0:b1:87:f5:94,192.168.2.112,75.126.101.175,1805.0,443.0,,,-36632742.593167,60,"Jun 12, 2010 14:45:57.882625000 India Standard Time",1
3349726,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.111,149.174.134.201,4326.0,80.0,,,-121031882.502568,60,"Oct  9, 2007 18:33:37.973224000 India Standard Time",0
8986579,00:09:6b:03:e8:a4,00:e0:b1:87:f5:94,192.168.2.109,67.18.81.21,3762.0,80.0,,,-36580221.840579,111,"Jun 13, 2010 05:21:18.635213000 India Standard Time",1
33811,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.180,65.54.234.75,3378.0,443.0,,,2355.249718,60,"Aug 10, 2011 15:10:55.725510000 India Standard Time",1
4008793,00:0d:60:96:ac:f7,00:e0:b1:87:f5:94,192.168.3.115,70.40.212.69,4081.0,80.0,,,-36639641.077896,60,"Jun 12, 2010 12:50:59.397896000 India Standard Time",0
6393870,00:11:25:bb:cf:0f,00:0d:60:96:ac:f6,192.168.4.120,192.168.4.118,4274.0,139.0,,,-36623427.935041,176,"Jun 12, 2010 17:21:12.540751000 India Standard Time",1
2761064,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121103315.452549,60,"Oct  8, 2007 22:43:05.023243000 India Standard Time",0
8178779,00:09:6b:e9:a9:00,00:e0:b1:87:f5:94,192.168.2.110,69.84.133.138,3699.0,80.0,,,-36597060.989623,60,"Jun 13, 2010 00:40:39.486169000 India Standard Time",1
2984426,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121100993.322001,60,"Oct  8, 2007 23:21:47.153791000 India Standard Time",0
4143689,00:0d:60:96:ae:5c,00:e0:b1:87:f5:94,192.168.4.121,192.168.5.122,49468.0,36025.0,,,-36639185.537836,1514,"Jun 12, 2010 12:58:34.937956000 India Standard Time",1
1408798,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,68.142.120.174,2805.0,80.0,,,-121115312.960634,66,"Oct  8, 2007 19:23:07.515158000 India Standard Time",0
8481894,00:11:25:bb:ce:df,00:e0:b1:87:f5:94,192.168.1.103,64.147.162.160,4410.0,80.0,,,-36594531.554813,60,"Jun 13, 2010 01:22:48.920979000 India Standard Time",1
5312049,00:01:02:72:ab:55,00:e0:b1:87:f5:94,203.73.24.75,192.168.3.117,80.0,4806.0,,,-36632099.748696,1514,"Jun 12, 2010 14:56:40.727096000 India Standard Time",0
8715435,00:01:02:72:ab:55,00:e0:b1:87:f5:94,63.251.52.160,192.168.1.103,80.0,4562.0,,,-36588594.956648,1514,"Jun 13, 2010 03:01:45.519144000 India Standard Time",1
1051072,08:00:27:1f:65:4a,00:1e:49:db:19:c3,147.32.84.192,221.3.234.79,,,7600.0,4720.0,778118.72711,1098,"Aug 19, 2011 14:40:19.202902000 India Standard Time",0
8690354,00:01:02:72:ab:55,00:e0:b1:87:f5:94,192.168.5.122,192.168.1.104,80.0,21127.0,,,-36589284.699044,706,"Jun 13, 2010 02:50:15.776748000 India Standard Time",1
923743,00:1e:49:db:19:c3,08:00:27:e2:09:2d,58.215.240.7,147.32.84.191,80.0,1043.0,,,776794.422895,1514,"Aug 19, 2011 14:18:14.898687000 India Standard Time",0
3592808,00:01:02:72:ab:55,00:e0:b1:87:f5:94,74.63.40.21,192.168.4.120,80.0,2820.0,,,-36652106.923673,266,"Jun 12, 2010 09:23:13.552119000 India Standard Time",1
3774149,00:01:02:72:ab:55,00:e0:b1:87:f5:94,69.84.133.138,192.168.2.110,80.0,1940.0,,,-36646379.751367,1434,"Jun 12, 2010 10:58:40.724425000 India Standard Time",1
3012235,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121100690.783575,96,"Oct  8, 2007 23:26:49.692217000 India Standard Time",0
30171,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.180,173.192.170.88,3065.0,80.0,,,2167.695733,62,"Aug 10, 2011 15:07:48.171525000 India Standard Time",1
2253609,00:44:66:fc:29:af,00:55:22:af:c6:37,88.162.105.165,172.16.2.12,,,26985.0,30319.0,-121112390.806665,96,"Oct  8, 2007 20:11:49.669127000 India Standard Time",0
913652,08:00:27:e2:09:2d,00:1e:49:db:19:c3,147.32.84.191,58.215.240.7,1043.0,80.0,,,776761.747205,60,"Aug 19, 2011 14:17:42.222997000 India Standard Time",0
3436595,00:22:19:20:7b:d3,00:01:02:72:ab:55,192.168.5.122,192.168.1.104,22.0,15852.0,,,-36655102.862225,1514,"Jun 12, 2010 08:33:17.613567000 India Standard Time",1
6709577,00:01:02:72:ab:55,00:e0:b1:87:f5:94,72.246.31.72,192.168.1.105,80.0,18405.0,,,-36619552.171479,60,"Jun 12, 2010 18:25:48.304313000 India Standard Time",0
8374584,00:11:25:bb:cf:0f,00:e0:b1:87:f5:94,192.168.4.120,208.122.28.20,1775.0,80.0,,,-36596025.054319,60,"Jun 13, 2010 00:57:55.421473000 India Standard Time",1
1087900,08:00:27:e2:09:2d,00:1e:49:db:19:c3,147.32.84.191,60.198.81.167,,,7600.0,7600.0,778686.076839,1098,"Aug 19, 2011 14:49:46.552631000 India Standard Time",0
2961720,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121101210.814012,96,"Oct  8, 2007 23:18:09.661780000 India Standard Time",0
5502062,00:11:25:5f:9b:4f,00:e0:b1:87:f5:94,192.168.1.105,72.14.204.91,17063.0,80.0,,,-36631758.351158,60,"Jun 12, 2010 15:02:22.124634000 India Standard Time",0
7886514,00:09:6b:e9:d0:88,00:e0:b1:87:f5:94,192.168.2.113,69.84.133.138,3193.0,80.0,,,-36597823.914726,60,"Jun 13, 2010 00:27:56.561066000 India Standard Time",1
6131952,00:01:02:72:ab:55,00:e0:b1:87:f5:94,68.178.178.97,192.168.2.112,80.0,2130.0,,,-36627510.394948,1434,"Jun 12, 2010 16:13:10.080844000 India Standard Time",1
4383364,00:01:02:72:ab:55,00:e0:b1:87:f5:94,192.168.5.122,192.168.1.104,,,53.0,2366.0,-36634927.669666,164,"Jun 12, 2010 14:09:32.806126000 India Standard Time",1
8791749,00:09:6b:e9:a9:00,00:e0:b1:87:f5:94,192.168.2.110,192.168.5.122,4319.0,80.0,,,-36586804.506229,60,"Jun 13, 2010 03:31:35.969563000 India Standard Time",1
4461915,00:09:6b:03:e8:a4,00:e0:b1:87:f5:94,192.168.2.109,174.132.188.162,4146.0,80.0,,,-36634652.932312,60,"Jun 12, 2010 14:14:07.543480000 India Standard Time",1
4986191,00:11:25:bb:cf:0f,00:e0:b1:87:f5:94,192.168.4.120,203.73.24.75,3906.0,80.0,,,-36633214.255413,60,"Jun 12, 2010 14:38:06.220379000 India Standard Time",1
6431622,00:0d:60:96:ad:25,00:e0:b1:87:f5:94,192.168.3.116,91.195.240.124,2774.0,80.0,,,-36623319.919309,60,"Jun 12, 2010 17:23:00.556483000 India Standard Time",0
625405,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.170,178.77.71.27,3389.0,1365.0,,,336054.661596,1275,"Aug 14, 2011 11:52:35.137388000 India Standard Time",1
2631351,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121104733.227097,66,"Oct  8, 2007 22:19:27.248695000 India Standard Time",0
